dataset,data_ids,n_valid_nsdgeneral_voxels,n_nan_nsdgeneral_voxels,mean_in_nsdgeneral,std_in_nsdgeneral,median_in_nsdgeneral
NSD,reliability_TYPEA_ASSUMEHRF_subj03,28009,24,0.048848420563492104,0.057180213427241916,0.0336601696908474
NSD,reliability_TYPEA_ASSUMEHRF_subj04,23127,28,0.04933871381165564,0.057866702900976376,0.034886155277490616
NSD mean,,,,0.055385849917476686,0.06538182219584851,0.03673835750669241
B5K,reliability_TYPEA_ASSUMEHRF_CSI1,17107,9,0.031316758417952326,0.08632742984000531,0.02979758195579052
B5K,reliability_TYPEA_ASSUMEHRF_CSI2,17461,20,0.035819084091987585,0.08851142190256649,0.0334453321993351
B5K,reliability_TYPEA_ASSUMEHRF_CSI3,15941,13,0.023570320550285715,0.09031422143860716,0.021240942180156708
B5K,reliability_TYPEA_ASSUMEHRF_CSI4,16693,14,0.01998806740196682,0.13574261836915266,0.022033119574189186
B5K mean,,,,0.02767355761554811,0.10022392288758292,0.026629243977367878
NSD,reliability_TYPEB_FITHRF_subj01,29723,0,0.08662345664292666,0.10953697900147615,0.045759156346321106
NSD,reliability_TYPEB_FITHRF_subj02,25620,35,0.09318944742239804,0.11910508855038257,0.04554901830852032
NSD,reliability_TYPEB_FITHRF_subj03,28009,24,0.07727997339262682,0.09784203531022287,0.040701936930418015
NSD,reliability_TYPEB_FITHRF_subj04,23127,28,0.05959783129582191,0.08271880044926809,0.03335773944854736
NSD mean,,,,0.07917267718844336,0.10230072582783743,0.0413419627584517
B5K,reliability_TYPEB_FITHRF_CSI1,17107,9,0.03287996727573787,0.09159194346271735,0.02928265742957592
B5K,reliability_TYPEB_FITHRF_CSI2,17461,20,0.038391761388907944,0.0930656628057627,0.03412880375981331
B5K,reliability_TYPEB_FITHRF_CSI3,15941,13,0.029919036201636755,0.09175318707546869,0.02607429027557373
B5K,reliability_TYPEB_FITHRF_CSI4,16693,14,0.025076783022939884,0.13697431868577575,0.02710580639541149
B5K mean,,,,0.03156688697230561,0.10334627800743112,0.029147889465093613
NSD,reliability_TYPEC_FITHRF_GLMDENOISE_subj01,29723,0,0.08567172969245748,0.10699083332359961,0.04537436366081238
NSD,reliability_TYPEC_FITHRF_GLMDENOISE_subj02,25620,35,0.09459998389441505,0.11979149480999655,0.047101886942982674
NSD,reliability_TYPEC_FITHRF_GLMDENOISE_subj03,28009,24,0.08202685387675013,0.10372361433378234,0.04221975803375244
NSD,reliability_TYPEC_FITHRF_GLMDENOISE_subj04,23127,28,0.06326632445935314,0.08944737883673498,0.03314327076077461
NSD mean,,,,0.08139122298074396,0.10498833032602838,0.041959819849580526
B5K,reliability_TYPEC_FITHRF_GLMDENOISE_CSI1,17107,9,0.04032859108709435,0.10579943553355663,0.031046299263834953
B5K,reliability_TYPEC_FITHRF_GLMDENOISE_CSI2,17461,20,0.03264173025707667,0.09615926450768103,0.026995347812771797
B5K,reliability_TYPEC_FITHRF_GLMDENOISE_CSI3,15941,13,0.04387404648580919,0.10440026641834349,0.03659548610448837
B5K,reliability_TYPEC_FITHRF_GLMDENOISE_CSI4,16693,14,0.031205433430292553,0.1406803128872065,0.03250698372721672
B5K mean,,,,0.037012450315068196,0.11175981983669692,0.03178602922707796
NSD,reliability_TYPED_FITHRF_GLMDENOISE_RR_subj01,29723,0,0.10362541275315795,0.11555679340318033,0.06289137899875641
NSD,reliability_TYPED_FITHRF_GLMDENOISE_RR_subj02,25620,35,0.11491243577067212,0.12984465392593236,0.06406715512275696
NSD,reliability_TYPED_FITHRF_GLMDENOISE_RR_subj03,28009,24,0.09739033919671485,0.1125133367210887,0.055374521762132645
NSD,reliability_TYPED_FITHRF_GLMDENOISE_RR_subj04,23127,28,0.0789815028423364,0.10043714931471574,0.04530739784240723
NSD mean,,,,0.09872742264072033,0.11458798334122929,0.05691011343151331
B5K,reliability_TYPED_FITHRF_GLMDENOISE_RR_CSI1,17114,2,0.04599946143084383,0.10947505514412319,0.03480870649218559
B5K,reliability_TYPED_FITHRF_GLMDENOISE_RR_CSI2,17469,12,0.03857978967735281,0.09704117850165746,0.032662611454725266
B5K,reliability_TYPED_FITHRF_GLMDENOISE_RR_CSI3,15949,5,0.059825879136791174,0.10951783345591144,0.05193329229950905
B5K,reliability_TYPED_FITHRF_GLMDENOISE_RR_CSI4,16702,5,0.040429728209638034,0.14417165163506013,0.04077889770269394
B5K mean,,,,0.04620871461365646,0.11505142968418805,0.04004587698727846
